"tick","FlagC"
1.0,23
2.0,23
3.0,23
4.0,23
5.0,23
6.0,23
7.0,22
8.0,22
9.0,21
10.0,21
11.0,21
12.0,21
13.0,21
14.0,21
15.0,21
16.0,20
17.0,20
18.0,20
19.0,19
20.0,19
21.0,19
22.0,19
23.0,19
24.0,18
25.0,18
26.0,18
27.0,17
28.0,17
29.0,17
30.0,17
31.0,17
32.0,17
33.0,17
34.0,17
35.0,17
36.0,17
37.0,17
38.0,17
39.0,17
40.0,16
41.0,16
42.0,16
43.0,16
44.0,16
45.0,16
46.0,15
47.0,15
48.0,15
49.0,15
50.0,15
51.0,15
52.0,15
53.0,15
54.0,15
55.0,15
56.0,15
57.0,15
58.0,15
59.0,15
60.0,15
61.0,15
62.0,15
63.0,15
64.0,15
65.0,15
66.0,14
67.0,14
68.0,13
69.0,13
70.0,12
71.0,12
72.0,12
73.0,12
74.0,10
75.0,10
76.0,10
77.0,10
78.0,10
79.0,10
80.0,10
81.0,10
82.0,10
83.0,10
84.0,10
85.0,10
86.0,10
87.0,10
88.0,10
89.0,10
90.0,10
91.0,10
92.0,10
93.0,10
94.0,10
95.0,10
96.0,10
97.0,10
98.0,10
99.0,10
100.0,10
101.0,10
102.0,10
103.0,10
104.0,10
105.0,10
106.0,10
107.0,10
108.0,10
109.0,10
110.0,10
111.0,10
112.0,10
113.0,10
114.0,10
115.0,10
116.0,10
117.0,10
118.0,10
119.0,9
120.0,9
121.0,9
122.0,9
123.0,9
124.0,9
125.0,8
126.0,8
127.0,8
128.0,8
129.0,8
130.0,8
131.0,8
132.0,8
133.0,8
134.0,8
135.0,8
136.0,8
137.0,8
138.0,8
139.0,8
140.0,8
141.0,8
142.0,8
143.0,8
144.0,8
145.0,8
146.0,8
147.0,8
148.0,8
149.0,8
150.0,8
151.0,8
152.0,8
153.0,8
154.0,8
155.0,8
156.0,8
157.0,8
158.0,8
159.0,8
160.0,8
161.0,8
162.0,8
163.0,8
164.0,8
165.0,8
166.0,8
167.0,8
168.0,7
169.0,7
170.0,7
171.0,7
172.0,7
173.0,7
174.0,7
175.0,7
176.0,7
177.0,7
178.0,7
179.0,7
180.0,6
181.0,6
182.0,6
183.0,6
184.0,6
185.0,6
186.0,6
187.0,6
188.0,6
189.0,6
190.0,6
191.0,6
192.0,6
193.0,6
194.0,6
195.0,6
196.0,6
197.0,6
198.0,6
199.0,6
200.0,6
201.0,6
202.0,6
203.0,6
204.0,6
205.0,6
206.0,6
207.0,6
208.0,6
209.0,6
210.0,6
211.0,6
212.0,6
213.0,6
214.0,6
215.0,6
216.0,6
217.0,6
218.0,6
219.0,6
220.0,6
221.0,6
222.0,6
223.0,6
224.0,6
225.0,6
226.0,6
227.0,6
228.0,6
229.0,6
230.0,6
231.0,6
232.0,6
233.0,6
234.0,6
235.0,6
236.0,6
237.0,6
238.0,6
239.0,6
240.0,6
241.0,6
242.0,6
243.0,6
244.0,5
245.0,5
246.0,4
247.0,4
248.0,3
249.0,3
250.0,3
251.0,3
252.0,3
253.0,3
254.0,3
255.0,3
256.0,3
257.0,3
258.0,3
259.0,3
260.0,3
261.0,3
262.0,3
263.0,3
264.0,3
265.0,3
266.0,3
267.0,3
268.0,3
269.0,3
270.0,3
271.0,3
272.0,3
273.0,3
274.0,3
275.0,3
276.0,3
277.0,3
278.0,3
279.0,2
280.0,2
281.0,2
282.0,2
283.0,2
284.0,2
285.0,2
286.0,2
287.0,2
288.0,2
289.0,2
290.0,2
291.0,2
292.0,2
293.0,1
294.0,1
295.0,1
296.0,1
297.0,1
298.0,1
299.0,1
300.0,1
301.0,1
302.0,1
303.0,1
304.0,1
305.0,1
306.0,1
307.0,1
308.0,1
309.0,1
310.0,1
311.0,1
312.0,1
313.0,1
314.0,1
315.0,1
316.0,1
317.0,1
318.0,1
319.0,1
320.0,1
321.0,1
322.0,1
323.0,1
324.0,1
325.0,1
326.0,1
327.0,1
328.0,1
329.0,1
330.0,1
331.0,1
332.0,1
333.0,1
334.0,1
335.0,1
336.0,1
337.0,1
338.0,1
339.0,1
340.0,1
341.0,1
342.0,1
343.0,1
344.0,1
345.0,1
346.0,1
347.0,1
348.0,1
349.0,1
350.0,1
351.0,1
352.0,1
353.0,1
354.0,1
355.0,1
356.0,1
357.0,1
358.0,1
359.0,1
360.0,1
361.0,1
362.0,1
363.0,1
364.0,1
365.0,1
366.0,1
367.0,1
368.0,1
369.0,1
370.0,1
371.0,1
372.0,1
373.0,1
374.0,1
375.0,1
376.0,1
377.0,1
378.0,1
379.0,1
380.0,1
381.0,1
382.0,1
383.0,1
384.0,1
385.0,1
386.0,1
387.0,1
388.0,1
389.0,1
390.0,1
391.0,1
392.0,1
393.0,1
394.0,1
395.0,1
396.0,1
397.0,1
398.0,1
399.0,1
400.0,1
401.0,1
402.0,1
403.0,1
404.0,1
405.0,1
406.0,1
407.0,1
408.0,1
409.0,1
410.0,1
411.0,1
412.0,1
413.0,1
414.0,1
415.0,1
416.0,1
417.0,1
418.0,1
419.0,1
420.0,1
421.0,1
422.0,1
423.0,1
424.0,1
425.0,1
426.0,1
427.0,1
428.0,1
429.0,1
430.0,1
431.0,1
432.0,1
433.0,1
434.0,1
435.0,1
436.0,1
437.0,1
438.0,1
439.0,1
440.0,1
441.0,1
442.0,1
443.0,1
444.0,1
445.0,1
446.0,1
447.0,1
448.0,1
449.0,1
450.0,1
451.0,1
452.0,1
453.0,1
454.0,0
