"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,169351484,0,50,0,0,5
3,169352006,0,50,0,0,13
5,169352135,0,50,0,1,9
7,169353011,0,50,0,2,5
9,169354687,0,50,0,2,13
11,169355442,0,50,0,3,9
13,169356105,0,50,10,0,5
15,169356206,0,50,10,0,13
17,169356323,0,50,10,1,9
19,169359851,0,50,10,2,5
21,169362037,0,50,10,2,13
23,169364119,0,50,10,3,9
25,169365490,0,50,20,0,5
27,169365577,0,50,20,0,13
29,169365681,0,50,20,1,9
31,169367463,0,50,20,2,5
33,169370448,0,50,20,2,13
35,169376080,0,50,20,3,9
37,169380592,0,50,30,0,5
39,169380724,0,50,30,0,13
41,169380800,0,50,30,1,9
43,169383416,0,50,30,2,5
45,169386881,0,50,30,2,13
47,169390563,0,50,30,3,9
49,169395332,0,50,40,0,5
51,169395469,0,50,40,0,13
53,169395567,0,50,40,1,9
55,169400690,0,50,40,2,5
57,169404732,0,50,40,2,13
59,169410767,0,50,40,3,9
61,169415620,0,50,50,0,5
63,169415733,0,50,50,0,13
65,169415817,0,50,50,1,9
67,169422501,0,50,50,2,5
69,169426937,0,50,50,2,13
71,169436057,0,50,50,3,9
73,169444016,1,50,0,0,5
75,169444290,1,50,0,0,13
77,169444521,1,50,0,1,9
79,169447368,1,50,0,2,5
81,169451339,1,50,0,2,13
83,169455750,1,50,0,3,9
85,169458686,1,50,10,0,5
87,169459066,1,50,10,0,13
89,169459353,1,50,10,1,9
91,169467030,1,50,10,2,5
93,169478259,1,50,10,2,13
95,169487450,1,50,10,3,9
97,169495687,1,50,20,0,5
99,169496169,1,50,20,0,13
101,169496412,1,50,20,1,9
103,169509348,1,50,20,2,5
105,169523586,1,50,20,2,13
107,169536325,1,50,20,3,9
109,169548781,1,50,30,0,5
111,169549110,1,50,30,0,13
113,169549315,1,50,30,1,9
115,169575678,1,50,30,2,5
117,169601842,1,50,30,2,13
119,169621233,1,50,30,3,9
121,169640357,1,50,40,0,5
123,169640774,1,50,40,0,13
125,169641152,1,50,40,1,9
127,169685575,1,50,40,2,5
129,169719619,1,50,40,2,13
131,169747475,1,50,40,3,9
133,169771590,1,50,50,0,5
