"run","randomSeed","shapeType","gridSize","noise","sharingType","edgeOfComm"
1,-593846102,0,50,0,0,5
3,-593845739,0,50,0,0,13
5,-593845567,0,50,0,1,9
7,-593845001,0,50,0,2,5
9,-593843865,0,50,0,2,13
11,-593842865,0,50,0,3,9
13,-593842416,0,50,10,0,5
15,-593842314,0,50,10,0,13
17,-593842228,0,50,10,1,9
19,-593840297,0,50,10,2,5
21,-593838559,0,50,10,2,13
23,-593837213,0,50,10,3,9
25,-593834512,0,50,20,0,5
27,-593834427,0,50,20,0,13
29,-593834333,0,50,20,1,9
31,-593831766,0,50,20,2,5
33,-593828407,0,50,20,2,13
35,-593824334,0,50,20,3,9
37,-593820884,0,50,30,0,5
39,-593820770,0,50,30,0,13
41,-593820729,0,50,30,1,9
43,-593817308,0,50,30,2,5
45,-593815008,0,50,30,2,13
47,-593810869,0,50,30,3,9
49,-593807776,0,50,40,0,5
51,-593807651,0,50,40,0,13
53,-593807551,0,50,40,1,9
55,-593802564,0,50,40,2,5
57,-593795716,0,50,40,2,13
59,-593789814,0,50,40,3,9
61,-593781625,0,50,50,0,5
63,-593781556,0,50,50,0,13
65,-593781464,0,50,50,1,9
67,-593772871,0,50,50,2,5
69,-593768674,0,50,50,2,13
71,-593765975,0,50,50,3,9
73,-593759487,1,50,0,0,5
75,-593759063,1,50,0,0,13
77,-593758792,1,50,0,1,9
79,-593755141,1,50,0,2,5
81,-593751361,1,50,0,2,13
83,-593747105,1,50,0,3,9
85,-593742846,1,50,10,0,5
87,-593742495,1,50,10,0,13
89,-593742248,1,50,10,1,9
91,-593733986,1,50,10,2,5
93,-593721867,1,50,10,2,13
95,-593711650,1,50,10,3,9
97,-593704798,1,50,20,0,5
99,-593704535,1,50,20,0,13
101,-593704241,1,50,20,1,9
103,-593690742,1,50,20,2,5
105,-593677142,1,50,20,2,13
107,-593662865,1,50,20,3,9
109,-593652426,1,50,30,0,5
111,-593651986,1,50,30,0,13
113,-593651721,1,50,30,1,9
115,-593632611,1,50,30,2,5
117,-593611843,1,50,30,2,13
119,-593593867,1,50,30,3,9
121,-593576779,1,50,40,0,5
123,-593576411,1,50,40,0,13
125,-593576127,1,50,40,1,9
127,-593551258,1,50,40,2,5
129,-593533573,1,50,40,2,13
131,-593503207,1,50,40,3,9
133,-593456013,1,50,50,0,5
135,-593455622,1,50,50,0,13
137,-593455388,1,50,50,1,9
139,-593426363,1,50,50,2,5
141,-593402660,1,50,50,2,13
143,-593366029,1,50,50,3,9
145,-593337042,2,50,0,0,5
147,-593336860,2,50,0,0,13
149,-593336684,2,50,0,1,9
151,-593334182,2,50,0,2,5
153,-593331592,2,50,0,2,13
155,-593328624,2,50,0,3,9
157,-593325369,2,50,10,0,5
159,-593325083,2,50,10,0,13
161,-593324875,2,50,10,1,9
163,-593314976,2,50,10,2,5
165,-593307318,2,50,10,2,13
